date, facebook, instagram, twitter
2022-12-25,36,23,12
2023-01-01,35,21,12
2023-01-08,33,21,12
2023-01-15,33,21,12
2023-01-22,32,21,12
2023-01-29,32,23,12
2023-02-05,32,24,12
2023-02-12,33,22,12
2023-02-19,34,22,12
2023-02-26,34,22,11
2023-03-05,33,23,12
2023-03-12,33,22,11
2023-03-19,33,22,11
2023-03-26,33,23,12
2023-04-02,33,22,12
2023-04-09,33,24,13
